1,2.81159,4.59931,688.275,0,0,0
2,3.29164,4.59923,687.555,0,0,0
3,3.98542,4.80933,686.365,0,0,0
4,4.69497,4.42365,685.427,0,0,0
5,5.25759,4.58376,683.646,0,0,0
6,6.14759,4.70378,682.936,0,0,0
7,6.62747,4.86378,682.206,0,0,0
8,6.62743,4.86379,682.206,0,0,0
9,7.33696,4.98377,680.326,0,0,0
10,10.4137,5.10381,679.436,0,0,0
11,13.0271,5.10382,678.936,0,0,0
12,15.3463,5.10377,675.976,0,0,0
13,16.4563,5.10376,674.506,0,0,0
14,16.4563,5.10374,674.506,0,0,0
15,18.1964,5.24359,673.286,0,0,0
16,19.0805,5.38365,671.756,0,0,0
17,20.2907,5.38365,670.786,0,0,0
18,20.5406,5.72369,670.472,0,0,0
19,20.5409,5.72367,658.772,0,0,0
20,20.5409,5.72368,635.472,0,0,0
